日期,1年期,3年期,5年期,7年期,10年期,20年期,30年期
20241231,1.0843,1.1872,1.4152,1.5887,1.6752,1.9747,1.9121
20241230,1.1093,1.1965,1.4413,1.6212,1.7128,2.0097,1.9476
