entity_name,indicator_name,indicator_code,frequency,数据来源,2026-04-01,2026-03-31,2026-03-30,2026-03-27,2026-03-26,2026-03-25,2026-03-24,2026-03-23,2026-03-20,2026-03-19,2026-03-18,2026-03-17,2026-03-16,2026-03-13,2026-03-12,2026-03-11,2026-03-10,2026-03-09,2026-03-06,2026-03-05,2026-03-04,2026-03-03
宏观数据（日）,恒生指数(点),EMG00143671,daily,香港联交所,2.529万,2.479万,2.475万,2.495万,2.486万,2.534万,2.506万,2.438万,2.528万,2.55万,2.603万,2.587万,2.583万,2.547万,2.572万,2.59万,2.596万,2.541万,2.576万,2.532万,2.525万,2.577万
宏观数据（日）,恒生指数,EMG00356838,daily,恒生指数,25294.03,24788.14,24750.79,24951.88,24856.43,25335.95,25063.71,24382.47,25277.32,25500.58,26025.42,25868.54,25834.02,25465.6,25716.76,25898.76,25959.9,25408.46,25757.29,25321.34,25249.48,25768.08
